,Date,Time,Day,Home,HomePts,Away,AwayPts,Travel_Start,Travel_End,Latitude,Longitude,Location
0,2024-09-07,3:30 PM,Sat,Maryland,24,MichiganState,27,OhioState,Maryland,38.988055555555555,-76.94305555555556,"College Park, Maryland"
1,2024-09-14,7:30 PM,Sat,UCLA,13,Indiana,42,OhioState,UCLA,34.07222222222222,-118.44277777777778,"Los Angeles, California(Westwood)"
2,2024-09-20,8:00 PM,Fri,Nebraska,24,Illinois,31,OhioState,Nebraska,40.8175,-96.70138888888889,"Lincoln, Nebraska"
3,2024-09-27,8:00 PM,Fri,Rutgers,21,Washington,18,OhioState,Rutgers,40.501666666666665,-74.44805555555556,"New Brunswick-Piscataway, New Jersey"
4,2024-10-05,7:30 PM,Sat,Minnesota,24,SouthernCalifornia,17,OhioState,Minnesota,44.975,-93.23527777777778,"Minneapolis-St. Paul, Minnesota[e]"
5,2024-10-18,8:00 PM,Fri,Purdue,0,Oregon,35,OhioState,Purdue,40.425,-86.92305555555556,"West Lafayette, Indiana"
6,2024-10-19,3:30 PM,Sat,Illinois,21,Michigan,7,OhioState,Illinois,40.11055555555556,-88.22833333333334,"Champaign-Urbana, Illinois[a]"
7,2024-10-25,11:00 PM,Fri,SouthernCalifornia,42,Rutgers,20,OhioState,SouthernCalifornia,34.02055555555555,-118.2847222222222,"Los Angeles, California(University Park)"
8,2024-10-26,7:30 PM,Sat,Wisconsin,13,PennState,28,OhioState,Wisconsin,43.07527777777778,-89.40416666666667,"Madison, Wisconsin"
9,2024-11-02,12:00 PM,Sat,PennState,13,OhioState,20,OhioState,PennState,40.79833333333333,-77.86,"University Park, Pennsylvania"
10,2024-11-15,9:00 PM,Fri,Washington,31,UCLA,19,OhioState,Washington,47.65416666666667,-122.30805555555555,"Seattle, Washington"
11,2024-11-16,12:00 PM,Sat,Northwestern,7,OhioState,31,OhioState,Northwestern,42.05583333333333,-87.67472222222223,"Evanston, Illinois"
12,2024-11-22,8:00 PM,Fri,MichiganState,24,Purdue,17,OhioState,MichiganState,42.725,-84.48,"East Lansing, Michigan"
13,2024-11-23,3:30 PM,Sat,Michigan,50,Northwestern,6,OhioState,Michigan,42.276944444444446,-83.73805555555556,"Ann Arbor, Michigan"
14,2024-11-29,7:30 PM,Fri,Iowa,13,Nebraska,10,OhioState,Iowa,41.66166666666666,-91.5363888888889,"Iowa City, Iowa"
15,2024-11-30,7:00 PM,Sat,Indiana,66,Purdue,0,OhioState,Indiana,39.16722222222222,-86.5213888888889,"Bloomington, Indiana"
16,2024-12-07,8:00 PM,Sat,Oregon,45,PennState,37,OhioState,Oregon,44.04416666666666,-123.07583333333334,"Eugene, Oregon"
