src,dest,miles
Indiana University Bloomington,Indiana University Bloomington,0.0
Indiana University Bloomington,Michigan State University,267.7092998522994
Indiana University Bloomington,Northwestern University,208.333814354626
Indiana University Bloomington,Pennsylvania State University,473.05131212077544
Indiana University Bloomington,Purdue University,89.36951174347993
Indiana University Bloomington,"Rutgers, The State University of New Jersey, New Brunswick",648.2087827192378
Indiana University Bloomington,The Ohio State University,195.9087749957483
Indiana University Bloomington,"University of California, Los Angeles",1799.052093878235
Indiana University Bloomington,University of Illinois Urbana-Champaign,111.91209140554989
Indiana University Bloomington,University of Iowa,315.4715047855047
Indiana University Bloomington,"University of Maryland, College Park",514.919529252524
Indiana University Bloomington,University of Michigan,259.569143895897
Indiana University Bloomington,University of Minnesota Twin Cities,528.6425215497394
Indiana University Bloomington,University of Nebraska-Lincoln,551.7475740039094
Indiana University Bloomington,University of Oregon,1906.976410382859
Indiana University Bloomington,University of Southern California,1791.8229533127414
Indiana University Bloomington,University of Washington,1874.7767208171995
Indiana University Bloomington,University of Wisconsin-Madison,308.7531232703902
Michigan State University,Indiana University Bloomington,267.7092998522994
Michigan State University,Michigan State University,0.0
Michigan State University,Northwestern University,169.84634731434338
Michigan State University,Pennsylvania State University,366.8783089904342
Michigan State University,Purdue University,203.01552585208393
Michigan State University,"Rutgers, The State University of New Jersey, New Brunswick",541.3666125103624
Michigan State University,The Ohio State University,202.93173572735296
Michigan State University,"University of California, Los Angeles",1922.7343737771735
Michigan State University,University of Illinois Urbana-Champaign,265.4053407451095
Michigan State University,University of Iowa,369.41120465078086
Michigan State University,"University of Maryland, College Park",471.32472248060884
Michigan State University,University of Michigan,48.912646944637906
Michigan State University,University of Minnesota Twin Cities,463.9118640450381
Michigan State University,University of Nebraska-Lincoln,644.3779035130093
Michigan State University,University of Oregon,1927.5852684403042
Michigan State University,University of Southern California,1916.4324773583317
Michigan State University,University of Washington,1859.0928955124234
Michigan State University,University of Wisconsin-Madison,251.0275827142726
Northwestern University,Indiana University Bloomington,208.333814354626
Northwestern University,Michigan State University,169.84634731434338
Northwestern University,Northwestern University,0.0
Northwestern University,Pennsylvania State University,516.809916937459
Northwestern University,Purdue University,119.15631782895348
Northwestern University,"Rutgers, The State University of New Jersey, New Brunswick",696.1321573919936
Northwestern University,The Ohio State University,281.86582129057297
Northwestern University,"University of California, Los Angeles",1754.7061635577552
Northwestern University,University of Illinois Urbana-Champaign,137.3132020306321
Northwestern University,University of Iowa,201.07241833850748
Northwestern University,"University of Maryland, College Park",602.8931599596566
Northwestern University,University of Michigan,202.69199408293179
Northwestern University,University of Minnesota Twin Cities,344.34021383700644
Northwestern University,University of Nebraska-Lincoln,476.2652694399291
Northwestern University,University of Oregon,1783.652219674023
Northwestern University,University of Southern California,1748.3022362812856
Northwestern University,University of Washington,1729.04051142713
Northwestern University,University of Wisconsin-Madison,112.85806015484859
Pennsylvania State University,Indiana University Bloomington,473.05131212077544
Pennsylvania State University,Michigan State University,366.8783089904342
Pennsylvania State University,Northwestern University,516.809916937459
Pennsylvania State University,Pennsylvania State University,0.0
Pennsylvania State University,Purdue University,477.0615617010851
Pennsylvania State University,"Rutgers, The State University of New Jersey, New Brunswick",180.4667371767732
Pennsylvania State University,The Ohio State University,277.28066475550594
Pennsylvania State University,"University of California, Los Angeles",2258.5515910700346
Pennsylvania State University,University of Illinois Urbana-Champaign,548.225558504694
