,Indiana University Bloomington,Michigan State University,Northwestern University,Pennsylvania State University,Purdue University,"Rutgers, The State University of New Jersey, New Brunswick",The Ohio State University,"University of California, Los Angeles",University of Illinois Urbana-Champaign,University of Iowa,"University of Maryland, College Park",University of Michigan,University of Minnesota Twin Cities,University of Nebraska-Lincoln,University of Oregon,University of Southern California,University of Washington,University of Wisconsin-Madison
Indiana University Bloomington,0.0,267.7092998522994,208.333814354626,473.05131212077544,89.36951174347993,648.2087827192378,195.9087749957483,1799.052093878235,111.91209140554989,315.4715047855047,514.919529252524,259.569143895897,528.6425215497394,551.7475740039094,1906.976410382859,1791.8229533127414,1874.7767208171995,308.7531232703902
Michigan State University,267.7092998522994,0.0,169.84634731434338,366.8783089904342,203.01552585208393,541.3666125103624,202.93173572735296,1922.7343737771735,265.4053407451095,369.41120465078086,471.32472248060884,48.912646944637906,463.9118640450381,644.3779035130093,1927.5852684403042,1916.4324773583317,1859.0928955124234,251.0275827142726
Northwestern University,208.333814354626,169.84634731434338,0.0,516.809916937459,119.15631782895348,696.1321573919936,281.86582129057297,1754.7061635577552,137.3132020306321,201.07241833850748,602.8931599596566,202.69199408293179,344.34021383700644,476.2652694399291,1783.652219674023,1748.3022362812856,1729.04051142713,112.85806015484859
Pennsylvania State University,473.05131212077544,366.8783089904342,516.809916937459,0.0,477.0615617010851,180.4667371767732,277.28066475550594,2258.5515910700346,548.225558504694,714.2290748250617,134.06291640461868,321.3346526424268,830.3983361251516,985.9554798827617,2294.060866041685,2251.7127662341163,2224.9135569754653,614.7347748499825
Purdue University,89.36951174347993,203.01552585208393,119.15631782895348,477.0615617010851,0.0,656.9167425364684,208.9044863462948,1781.712337761029,72.31860709324877,255.6438984389586,540.6602980122557,209.1730607976081,449.0874939818567,514.5634514499919,1855.9651042934645,1774.8241206567366,1814.0903593941812,223.35383372653686
"Rutgers, The State University of New Jersey, New Brunswick",648.2087827192378,541.3666125103624,696.1321573919936,180.4667371767732,656.9167425364684,0.0,453.9141370732783,2438.6154064779876,727.683350612452,894.3651343035074,168.98876199814467,497.8192531550063,1001.8462160558197,1166.4047478810085,2468.3470654474663,2431.7379445531824,2393.0485205491414,791.4900051886751
The Ohio State University,195.9087749957483,202.93173572735296,281.86582129057297,277.28066475550594,208.9044863462948,453.9141370732783,0.0,1987.218547973312,276.6010094093212,461.0185943300305,331.7707464432447,161.61902299146675,624.277703670797,723.4595838544841,2060.014776067086,1980.187417147749,2010.3592330253296,393.37450255668915
"University of California, Los Angeles",1799.052093878235,1922.7343737771735,1754.7061635577552,2258.5515910700346,1781.712337761029,2438.6154064779876,1987.218547973312,0.0,1711.3032802047976,1553.7227137889365,2313.960029967127,1957.2299947074534,1533.2730262847629,1278.49937813416,731.3048460753705,9.742440571059737,958.5110490352204,1680.0018773552738
University of Illinois Urbana-Champaign,111.91209140554989,265.4053407451095,137.3132020306321,548.225558504694,72.31860709324877,727.683350612452,276.6010094093212,1711.3032802047976,0.0,203.6139269880133,607.2621035913036,277.6684104136245,421.77226656725304,449.0099898541783,1798.566130123134,1704.3485494313322,1763.5361863477099,213.4733156005533
University of Iowa,315.4715047855047,369.41120465078086,201.07241833850748,714.2290748250617,255.6438984389586,894.3651343035074,461.0185943300305,1553.7227137889365,203.6139269880133,0.0,791.3632778476638,403.7534059099156,244.2197478152025,275.2298714751293,1600.3860231961628,1547.3483866667164,1560.546239122805,146.38101657174388
"University of Maryland, College Park",514.919529252524,471.32472248060884,602.8931599596566,134.06291640461868,540.6602980122557,168.98876199814467,331.7707464432447,2313.960029967127,607.2621035913036,791.3632778476638,0.0,422.98755448611666,932.8997181317897,1055.1708651531846,2386.5309961232115,2306.7395843300533,2327.644721363232,708.6797076594676
University of Michigan,259.569143895897,48.912646944637906,202.69199408293179,321.3346526424268,209.1730607976081,497.8192531550063,161.61902299146675,1957.2299947074534,277.6684104136245,403.7534059099156,422.98755448611666,0.0,511.0166004908598,678.8958446462537,1972.740077432698,1950.7904473496435,1906.3282692625571,293.7421467931398
University of Minnesota Twin Cities,528.6425215497394,463.9118640450381,344.34021383700644,830.3983361251516,449.0874939818567,1001.8462160558197,624.277703670797,1533.2730262847629,421.77226656725304,244.2197478152025,932.8997181317897,511.0166004908598,0.0,336.5315540925433,1467.4555462338562,1528.1722477579892,1395.3116698629103,231.53630043329238
University of Nebraska-Lincoln,551.7475740039094,644.3779035130093,476.2652694399291,985.9554798827617,514.5634514499919,1166.4047478810085,723.4595838544841,1278.49937813416,449.0099898541783,275.2298714751293,1055.1708651531846,678.8958446462537,336.5315540925433,0.0,1360.8308208410913,1272.139156369297,1348.3295468782703,406.81365357096445
University of Oregon,1906.976410382859,1927.5852684403042,1783.652219674023,2294.060866041685,1855.9651042934645,2468.3470654474663,2060.014776067086,731.3048460753705,1798.566130123134,1600.3860231961628,2386.5309961232115,1972.740077432698,1467.4555462338562,1360.8308208410913,0.0,737.5882893416557,252.05738376037442,1679.9984515359308
University of Southern California,1791.8229533127414,1916.4324773583317,1748.3022362812856,2251.7127662341163,1774.8241206567366,2431.7379445531824,1980.187417147749,9.742440571059737,1704.3485494313322,1547.3483866667164,2306.7395843300533,1950.7904473496435,1528.1722477579892,1272.139156369297,737.5882893416557,0.0,963.7578726055098,1673.9808661245888
University of Washington,1874.7767208171995,1859.0928955124234,1729.04051142713,2224.9135569754653,1814.0903593941812,2393.0485205491414,2010.3592330253296,958.5110490352204,1763.5361863477099,1560.546239122805,2327.644721363232,1906.3282692625571,1395.3116698629103,1348.3295468782703,252.05738376037442,963.7578726055098,0.0,1619.912659979399
University of Wisconsin-Madison,308.7531232703902,251.0275827142726,112.85806015484859,614.7347748499825,223.35383372653686,791.4900051886751,393.37450255668915,1680.0018773552738,213.4733156005533,146.38101657174388,708.6797076594676,293.7421467931398,231.53630043329238,406.81365357096445,1679.9984515359308,1673.9808661245888,1619.912659979399,0.0
