,source,destination,date
0,OhioState,Maryland,2024-09-07
1,OhioState,UCLA,2024-09-14
2,OhioState,Nebraska,2024-09-20
3,OhioState,Rutgers,2024-09-27
4,OhioState,Minnesota,2024-10-05
5,OhioState,Purdue,2024-10-18
6,OhioState,Illinois,2024-10-19
7,OhioState,SouthernCalifornia,2024-10-25
8,OhioState,Wisconsin,2024-10-26
9,OhioState,PennState,2024-11-02
10,OhioState,Washington,2024-11-15
11,OhioState,Northwestern,2024-11-16
12,OhioState,MichiganState,2024-11-22
13,OhioState,Michigan,2024-11-23
14,OhioState,Iowa,2024-11-29
15,OhioState,Indiana,2024-11-30
16,OhioState,Oregon,2024-12-07
