source,destination,date
Home,Nebraska,2024-09-20
Nebraska,Minnesota,2024-09-21
Minnesota,Rutgers,2024-09-27
Rutgers,PennState,2024-09-28
PennState,OhioState,2024-10-05
OhioState,Maryland,2024-10-11
Maryland,Illinois,2024-10-12
Illinois,Purdue,2024-10-18
Purdue,Indiana,2024-10-19
Indiana,SouthernCalifornia,2024-10-25
SouthernCalifornia,UCLA,2024-11-08
UCLA,Oregon,2024-11-09
Oregon,Washington,2024-11-15
Washington,Wisconsin,2024-11-16
Wisconsin,MichiganState,2024-11-22
MichiganState,Michigan,2024-11-23
Michigan,Iowa,2024-11-29
Iowa,Northwestern,2024-11-30
Northwestern,Home,2025-01-01
