,Rk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
0,1,"Sep 7, 2024",3:30 PM,Sat,Michigan State,27,@,Maryland,24,
1,2,"Sep 14, 2024",7:30 PM,Sat,Indiana,42,@,UCLA,13,
2,3,"Sep 20, 2024",8:00 PM,Fri,(24) Illinois,31,@,(22) Nebraska,24,
3,4,"Sep 21, 2024",7:30 PM,Sat,Iowa,31,@,Minnesota,14,
4,5,"Sep 21, 2024",3:30 PM,Sat,(18) Michigan,27,,(11) Southern California,24,
5,6,"Sep 21, 2024",7:00 PM,Sat,Washington,24,,Northwestern,5,
6,7,"Sep 27, 2024",8:00 PM,Fri,Rutgers,21,,Washington,18,
7,8,"Sep 28, 2024",12:00 PM,Sat,Indiana,42,,Maryland,28,
8,9,"Sep 28, 2024",12:00 PM,Sat,(12) Michigan,27,,Minnesota,24,
9,10,"Sep 28, 2024",12:00 PM,Sat,Nebraska,28,@,Purdue,10,
10,11,"Sep 28, 2024",7:00 PM,Sat,(3) Ohio State,38,@,Michigan State,7,
11,12,"Sep 28, 2024",11:00 PM,Sat,(8) Oregon,34,@,UCLA,13,
12,13,"Sep 28, 2024",7:30 PM,Sat,(9) Penn State,21,,(19) Illinois,7,
13,14,"Sep 28, 2024",3:30 PM,Sat,(13) Southern California,38,,Wisconsin,21,
14,15,"Oct 4, 2024",9:00 PM,Fri,(6) Oregon,31,,Michigan State,10,
15,16,"Oct 5, 2024",3:30 PM,Sat,(23) Indiana,41,@,Northwestern,24,
16,17,"Oct 5, 2024",7:30 PM,Sat,Minnesota,24,,(11) Southern California,17,
17,18,"Oct 5, 2024",4:00 PM,Sat,Nebraska,14,,Rutgers,7,
18,19,"Oct 5, 2024",3:30 PM,Sat,(3) Ohio State,35,,Iowa,7,
19,20,"Oct 5, 2024",12:00 PM,Sat,(7) Penn State,27,,UCLA,11,
20,21,"Oct 5, 2024",7:30 PM,Sat,Washington,27,,(10) Michigan,17,
21,22,"Oct 5, 2024",12:00 PM,Sat,Wisconsin,52,,Purdue,6,
22,23,"Oct 11, 2024",8:00 PM,Fri,Northwestern,37,@,Maryland,10,
23,24,"Oct 12, 2024",3:30 PM,Sat,(23) Illinois,50,,Purdue,49,
24,25,"Oct 12, 2024",12:00 PM,Sat,Iowa,40,,Washington,16,
25,26,"Oct 12, 2024",9:00 PM,Sat,Minnesota,21,@,UCLA,17,
26,27,"Oct 12, 2024",7:30 PM,Sat,(3) Oregon,32,,(2) Ohio State,31,
27,28,"Oct 12, 2024",3:30 PM,Sat,(4) Penn State,33,@,Southern California,30,
28,29,"Oct 12, 2024",12:00 PM,Sat,Wisconsin,42,@,Rutgers,7,
29,30,"Oct 18, 2024",8:00 PM,Fri,(2) Oregon,35,@,Purdue,0,
30,31,"Oct 19, 2024",3:30 PM,Sat,(22) Illinois,21,,(24) Michigan,7,
31,32,"Oct 19, 2024",12:00 PM,Sat,(16) Indiana,56,,Nebraska,7,
32,33,"Oct 19, 2024",4:00 PM,Sat,Maryland,29,,Southern California,28,
33,34,"Oct 19, 2024",7:30 PM,Sat,Michigan State,32,,Iowa,20,
34,35,"Oct 19, 2024",12:00 PM,Sat,UCLA,35,@,Rutgers,32,
35,36,"Oct 19, 2024",12:00 PM,Sat,Wisconsin,23,@,Northwestern,3,
36,37,"Oct 25, 2024",11:00 PM,Fri,Southern California,42,,Rutgers,20,
37,38,"Oct 26, 2024",12:00 PM,Sat,(13) Indiana,31,,Washington,17,
38,39,"Oct 26, 2024",3:30 PM,Sat,Iowa,40,,Northwestern,14,
39,40,"Oct 26, 2024",7:30 PM,Sat,Michigan,24,,Michigan State,17,
40,41,"Oct 26, 2024",3:30 PM,Sat,Minnesota,48,,Maryland,23,
41,42,"Oct 26, 2024",12:00 PM,Sat,(4) Ohio State,21,,Nebraska,17,
42,43,"Oct 26, 2024",3:30 PM,Sat,(1) Oregon,38,,(20) Illinois,9,
43,44,"Oct 26, 2024",7:30 PM,Sat,(3) Penn State,28,@,Wisconsin,13,
44,45,"Nov 2, 2024",3:30 PM,Sat,(13) Indiana,47,@,Michigan State,10,
45,46,"Nov 2, 2024",7:30 PM,Sat,Iowa,42,,Wisconsin,10,
46,47,"Nov 2, 2024",12:00 PM,Sat,Minnesota,25,@,(24) Illinois,17,
47,48,"Nov 2, 2024",12:00 PM,Sat,Northwestern,26,@,Purdue,20,
48,49,"Nov 2, 2024",12:00 PM,Sat,(4) Ohio State,20,@,(3) Penn State,13,
49,50,"Nov 2, 2024",3:30 PM,Sat,(1) Oregon,38,@,Michigan,17,
50,51,"Nov 2, 2024",3:30 PM,Sat,UCLA,27,@,Nebraska,20,
51,52,"Nov 2, 2024",7:30 PM,Sat,Washington,26,,Southern California,21,
